Date,Month,Year,month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,Neighborhood
2021-05,05,2021,202105,98109,"seattle, wa",,689000,0.1251,-0.1885,58,0,-0.1343,35,0.147540984,-0.054054054,56,0.4,0.4,0,,,20,1.5,0,51,0,1.3182,621.3063764,-0.0315,-0.0792,1057,0.0528,-0.1931,1080473.69,-0.0072,-0.1244,109,0,0.2247,0.879310345,0,0.551,Queen Anne
2021-05,05,2021,202105,98112,"seattle, wa",,1400000,0.009,-0.1515,46,0.0952,0.0698,33,0.1,-0.3125,52,0.1818,1.6,0,,,16,0.3333,1,52,-0.0189,1,642.8418115,0.0047,0.06,2241,-4.00E-04,-0.2025,1775350.83,0.0055,-0.1634,98,0.0316,0.4203,1.130434783,-0.1315,0.5258,Madrona
2021-05,05,2021,202105,98177,"seattle, wa",,1249950,-0.0433,0.046,13,0.4444,-0.5938,15,0.428571429,-0.545454545,28,0.1667,0.75,0,,,4,,-0.6667,30,0.1538,0.5,472.213827,-0.0412,0.1256,2630,0.0779,-0.1115,1416017.368,0.1588,0.0581,43,0.2286,-0.1731,2.307692308,-0.5812,1.6827,Mount Baker
2021-04,04,2021,202104,98116,"seattle, wa",,887475,-0.1337,0.1101,38,0.0556,0.2258,28.5,-0.589928058,0.036363636,48,0.3333,0.7143,0,,,8,0,0,56,0.098,1.5455,579.0427401,-0.0063,0.2015,1976,0.0082,0.1818,1219694.687,-0.0963,0.3137,94,0.0805,0.7736,1.473684211,0.057,0.764,Alki Beach
2021-04,04,2021,202104,98136,"seattle, wa",,699500,0.1016,0.0101,16,-0.3043,-0.2,28.5,0.676470588,-0.033898305,24,-0.25,0.5,0,,,0,,-1,46,0.2105,1.0909,492.9177006,-0.0051,0.076,1495,0.2366,-0.1481,1024527.083,0.0284,0.1705,62,0.0164,0.4762,2.875,1.2228,1.775,Northgate
2021-04,04,2021,202104,98103,"seattle, wa",,679000,-0.0088,-0.0044,58,0.2083,-0.1714,24,-0.225806452,-0.238095238,76,0.1176,0.5833,0,,,16,1,3,90,0.1111,0.6981,557.8680009,0.0388,0.0334,1078,-0.1168,-0.1414,710063.0712,0.004,-0.0963,148,0.1473,0.2033,1.551724138,-0.1358,0.7946,Greenlake
2021-04,04,2021,202104,98108,"seattle, wa",,650000,0.1207,0.0197,13,-0.2778,-0.5185,26,1.363636364,-0.071428571,16,-0.4286,0,0,,,4,0,,40,0.25,0.9048,453.3397372,0.0726,0.013,1440,0.0378,0.0992,666378.9299,0.0829,0.0489,53,0.06,0.1042,3.076923077,1.2991,2.2991,Ballard
2021-04,04,2021,202104,98118,"seattle, wa",,687000,-0.0036,0.1451,52,0.0196,-0.037,30.5,0.089285714,-0.197368421,48,-0.2,1.4,0,,,0,-1,-1,78,0.0541,1.6897,402.9005312,-0.051,-0.0108,1613,0.042,-0.0165,838300.125,0.0739,-0.0097,130,0.04,0.5663,1.5,0.049,0.963,Columbia City
2021-04,04,2021,202104,98115,"seattle, wa",,887975,0.1458,0.11,39,0.0263,-0.093,15,1.307692308,-0.473684211,72,-0.1429,1.5714,0,,,4,,-0.5,71,0.0923,0.2679,512.4886351,0.047,0.054,1640,0.0469,-0.075,971131.4052,0.1497,0.0464,110,0.068,0.1111,1.820512821,0.11,0.5182,Madrona
2021-04,04,2021,202104,98155,"seattle, wa",*,824450,0.0055,,28,0.4,0,24.5,1.578947368,-0.234375,32,-0.1111,0.6,0,,,4,,0,42,0.2353,0.5556,466.3822526,0,0.2933,1560,-0.04,-0.1034,1037074.543,0.0286,0.4288,70,0.2963,0.2727,1.5,-0.2,0.5357,Mount Baker
2021-04,04,2021,202104,98105,"seattle, wa",,880500,0.0167,-0.0249,26,-0.0714,-0.1875,22,-0.063829787,-0.435897436,28,-0.3,0.75,0,,,4,0,0,36,0.2,1.4,542.4634471,0.0377,0.0172,1800,0.108,-0.0129,2413906.333,0.8098,0.5752,62,0.069,0.3191,1.384615385,0.3132,0.9159,Laurelhurst
2021-04,04,2021,202104,98101,"seattle, wa",,664974.5,-0.0666,-0.0687,57,0.0755,0.3256,55.5,-0.075,0.37037037,24,0,1,0,,,8,0,1,21,0.1053,-0.125,918.5762332,-0.0198,-0.1282,723,-0.0103,0.0234,1182198.582,-0.018,-0.0151,78,0.0833,0.1642,0.368421053,0.0099,-0.1897,Downtown
